IP,Country,class
1.10.195.126,TH,normal
1.1.217.211,TH,normal
1.115.198.107,JP,anomaly
1.121.152.143,AU,normal
1.123.135.213,AU,normal
1.124.48.210,AU,anomaly
1.124.48.99,AU,anomaly
1.126.48.118,AU,anomaly
1.126.48.171,AU,anomaly
1.126.48.47,AU,anomaly
1.128.96.235,AU,anomaly
1.128.96.30,AU,anomaly
1.128.97.122,AU,normal
1.129.96.120,AU,anomaly
1.129.96.21,AU,anomaly
1.129.96.252,AU,anomaly
1.129.96.79,AU,normal
1.129.96.86,AU,anomaly
1.129.97.46,AU,normal
1.129.97.62,AU,normal
1.132.96.125,AU,anomaly
1.132.96.203,AU,anomaly
1.132.97.60,AU,normal
1.136.97.40,AU,normal
1.136.97.67,AU,anomaly
1.144.96.234,AU,normal
1.144.96.77,AU,anomaly
1.144.97.41,AU,normal
1.152.96.14,AU,normal
1.152.96.156,AU,normal
1.152.96.251,AU,anomaly
1.152.97.102,AU,anomaly
1.152.97.25,AU,normal
1.161.13.16,TW,anomaly
1.161.27.235,TW,normal
1.162.51.164,TW,normal
1.163.208.88,TW,normal
1.164.141.85,TW,anomaly
1.164.73.87,TW,normal
1.168.54.202,TW,anomaly
1.173.31.228,TW,anomaly
1.186.37.87,IN,anomaly
1.186.38.82,IN,normal
1.186.98.212,IN,normal
1.187.118.90,IN,normal
1.187.188.80,IN,anomaly
1.187.196.224,IN,anomaly
1.187.201.169,IN,normal
1.187.207.245,IN,anomaly
1.187.58.245,IN,anomaly
1.187.84.143,IN,normal
1.187.86.94,IN,anomaly
1.187.87.117,IN,anomaly
1.187.87.135,IN,normal
1.187.94.62,IN,normal
1.194.17.238,CN,normal
1.200.201.129,TW,anomaly
1.20.173.38,TH,anomaly
1.20.175.155,TH,anomaly
1.20.175.187,TH,normal
1.20.245.38,TH,normal
1.20.34.63,TH,anomaly
1.2.148.206,TH,anomaly
1.204.26.164,CN,normal
1.212.121.254,KR,anomaly
1.23.61.210,IN,normal
1.232.207.82,KR,anomaly
1.235.201.62,KR,anomaly
1.32.127.178,HK,anomaly
1.32.41.53,HK,anomaly
1.32.72.28,HK,normal
1.32.74.177,HK,anomaly
1.32.77.0,HK,normal
1.32.77.0,HK,normal
1.38.4.14,IN,anomaly
1.39.11.87,IN,normal
1.39.12.67,IN,anomaly
1.39.14.124,IN,normal
1.39.14.149,IN,normal
1.39.20.105,IN,anomaly
1.39.20.193,IN,normal
1.39.20.225,IN,anomaly
1.39.20.86,IN,anomaly
1.39.21.169,IN,anomaly
1.39.21.83,IN,normal
1.39.24.136,IN,anomaly
1.39.24.170,IN,normal
1.39.24.241,IN,anomaly
1.39.24.43,IN,anomaly
1.39.24.72,IN,normal
1.39.25.105,IN,normal
1.39.25.10,IN,normal
1.39.25.191,IN,normal
1.39.25.244,IN,anomaly
1.39.25.40,IN,anomaly
1.39.26.137,IN,normal
1.39.26.141,IN,normal
1.39.26.201,IN,normal
